imagem,condicao,metodo,palavras_anotadas,precisao,revocacao,f1,angulo_corrigido
83594639,foto simulada,pipeline do projeto,87,0.4471,0.4368,0.4419,-5.3
83624198,scan original,sem pré-processamento,190,0.6374,0.6105,0.6237,
83624198,scan original,pipeline do projeto,190,0.7822,0.8316,0.8061,0.0
83624198,foto simulada,sem pré-processamento,190,0.3162,0.2263,0.2638,
83624198,foto simulada,pipeline do projeto,190,0.7208,0.7474,0.7339,-3.2
83635935,scan original,sem pré-processamento,140,0.5081,0.45,0.4773,
83635935,scan original,pipeline do projeto,140,0.452,0.5714,0.5047,0.0
83635935,foto simulada,sem pré-processamento,140,0.1899,0.1071,0.137,
83635935,foto simulada,pipeline do projeto,140,0.4254,0.55,0.4798,-3.3
83641919_1921,scan original,sem pré-processamento,224,0.1926,0.1161,0.1448,
83641919_1921,scan original,pipeline do projeto,224,0.5278,0.5089,0.5182,0.0
83641919_1921,foto simulada,sem pré-processamento,224,0.5246,0.1429,0.2246,
83641919_1921,foto simulada,pipeline do projeto,224,0.4975,0.442,0.4681,-5.0
83772145,scan original,sem pré-processamento,234,0.6429,0.5769,0.6081,
83772145,scan original,pipeline do projeto,234,0.6173,0.641,0.6289,0.2
83772145,foto simulada,sem pré-processamento,234,0.371,0.1966,0.257,
83772145,foto simulada,pipeline do projeto,234,0.5813,0.6111,0.5958,-4.1
83823750,scan original,sem pré-processamento,162,0.4423,0.4259,0.434,
83823750,scan original,pipeline do projeto,162,0.5139,0.4568,0.4837,0.0
83823750,foto simulada,sem pré-processamento,162,0.6618,0.2778,0.3913,
83823750,foto simulada,pipeline do projeto,162,0.5417,0.4815,0.5098,3.0
83996357,scan original,sem pré-processamento,101,0.6383,0.5941,0.6154,
83996357,scan original,pipeline do projeto,101,0.7812,0.7426,0.7614,-0.2
83996357,foto simulada,sem pré-processamento,101,0.2292,0.1089,0.1477,
83996357,foto simulada,pipeline do projeto,101,0.5729,0.5446,0.5584,-5.0
85201976,scan original,sem pré-processamento,79,0.7416,0.8354,0.7857,
85201976,scan original,pipeline do projeto,79,0.7931,0.8734,0.8313,0.0
85201976,foto simulada,sem pré-processamento,79,0.5932,0.443,0.5072,
85201976,foto simulada,pipeline do projeto,79,0.8276,0.9114,0.8675,-5.4
85240939,scan original,sem pré-processamento,162,0.6856,0.821,0.7472,
85240939,scan original,pipeline do projeto,162,0.6034,0.8827,0.7168,2.1
85240939,foto simulada,sem pré-processamento,162,0.6698,0.8765,0.7594,
85240939,foto simulada,pipeline do projeto,162,0.5581,0.8889,0.6857,-1.2
85540866,scan original,sem pré-processamento,25,0.6667,0.72,0.6923,
85540866,scan original,pipeline do projeto,25,0.6389,0.92,0.7541,0.2
85540866,foto simulada,sem pré-processamento,25,0.6667,0.64,0.6531,
85540866,foto simulada,pipeline do projeto,25,0.5476,0.92,0.6866,4.3
85629964,scan original,sem pré-processamento,94,0.8654,0.9574,0.9091,
85629964,scan original,pipeline do projeto,94,0.8198,0.9681,0.8878,0.6
85629964,foto simulada,sem pré-processamento,94,0.5575,0.6702,0.6087,
85629964,foto simulada,pipeline do projeto,94,0.8725,0.9468,0.9082,-4.8
86075409_5410,scan original,sem pré-processamento,126,0.303,0.2381,0.2667,
86075409_5410,scan original,pipeline do projeto,126,0.7034,0.6587,0.6803,0.0
86075409_5410,foto simulada,sem pré-processamento,126,0.2063,0.1032,0.1376,
86075409_5410,foto simulada,pipeline do projeto,126,0.6423,0.627,0.6345,-5.1
86079776_9777,scan original,sem pré-processamento,214,0.5813,0.5514,0.5659,
86079776_9777,scan original,pipeline do projeto,214,0.76,0.7991,0.779,-0.4
86079776_9777,foto simulada,sem pré-processamento,214,0.4128,0.2103,0.2786,
86079776_9777,foto simulada,pipeline do projeto,214,0.7265,0.757,0.7414,3.5
86220490,scan original,sem pré-processamento,69,0.8378,0.8986,0.8671,
86220490,scan original,pipeline do projeto,69,0.8158,0.8986,0.8552,-0.3
86220490,foto simulada,sem pré-processamento,69,0.4906,0.3768,0.4262,
86220490,foto simulada,pipeline do projeto,69,0.7763,0.8551,0.8138,-3.7
86230203_0206,scan original,sem pré-processamento,141,0.4692,0.4326,0.4502,
86230203_0206,scan original,pipeline do projeto,141,0.6759,0.695,0.6853,-0.9
86230203_0206,foto simulada,sem pré-processamento,141,0.3036,0.1206,0.1726,
86230203_0206,foto simulada,pipeline do projeto,141,0.6412,0.5957,0.6176,3.1
86236474_6476,scan original,sem pré-processamento,119,0.8952,0.9328,0.9136,
86236474_6476,scan original,pipeline do projeto,119,0.8992,0.9748,0.9355,0.0
86236474_6476,foto simulada,sem pré-processamento,119,0.6111,0.6471,0.6286,
